state	OR	ORplusSister
68000000	1989.236685	1830.891794
68050000	1987.840247	1850.805873
68100000	1992.210772	1872.001364
68150000	1991.321558	1841.769585
68200000	1987.798467	1799.984036
68250000	1992.001499	1830.513234
68300000	1991.237181	1841.931664
68350000	1988.445309	1851.957288
68400000	1986.324360	1856.135537
68450000	1978.872831	1842.134173
68500000	1988.359898	1849.115569
68550000	1987.998525	1851.804967
68600000	1983.236189	1853.610166
68650000	1979.968230	1869.984129
68700000	1979.304239	1861.491219
68750000	1975.271352	1845.959085
68800000	1987.043092	1884.677305
68850000	1984.878884	1874.199699
68900000	1992.008965	1886.760281
68950000	1992.218458	1887.095571
69000000	1983.518261	1864.688154
69050000	1981.245146	1862.686543
69100000	1991.822674	1874.876967
69150000	1989.193301	1871.300448
69200000	1987.035208	1872.847585
69250000	1984.972737	1849.221346
69300000	1983.781670	1834.318561
69350000	1987.043272	1852.292681
69400000	1987.919872	1854.100709
69450000	1985.799589	1868.122118
69500000	1986.256260	1868.648104
69550000	1987.440837	1859.399885
69600000	1989.553905	1841.783243
69650000	1990.474599	1873.926221
69700000	1987.783969	1869.676744
69750000	1991.586665	1862.303084
69800000	1988.253589	1865.561979
69850000	1986.552679	1857.265905
69900000	1988.108694	1872.824023
69950000	1991.190257	1906.547412
70000000	1990.403509	1893.129799
70050000	1988.769173	1868.409750
70100000	1986.387804	1855.619378
70150000	1987.205019	1854.891138
70200000	1988.869057	1861.517819
70250000	1982.607260	1839.062161
70300000	1976.497564	1858.233284
70350000	1974.689299	1853.578004
70400000	1980.930237	1889.589508
70450000	1982.633452	1886.118146
70500000	1984.291509	1873.145231
70550000	1988.226542	1858.061929
70600000	1992.206697	1870.649696
70650000	1983.925682	1875.503805
70700000	1970.275375	1859.167036
70750000	1985.057537	1841.588585
70800000	1988.021587	1858.713918
70850000	1975.916549	1849.732898
70900000	1973.746145	1826.270183
70950000	1978.632730	1818.786984
71000000	1985.558934	1841.318743
71050000	1984.604886	1839.448356
71100000	1985.053198	1816.201487
71150000	1982.158849	1841.446622
71200000	1981.455595	1860.216953
71250000	1978.799218	1824.966084
71300000	1986.835016	1872.078228
71350000	1991.163829	1849.281934
71400000	1984.723319	1846.854266
71450000	1978.410325	1822.389672
71500000	1984.712956	1823.190776
71550000	1986.615266	1856.730684
71600000	1981.067417	1856.611773
71650000	1980.141496	1836.733557
71700000	1977.106357	1836.710529
71750000	1982.544193	1838.803613
71800000	1982.598787	1854.886731
71850000	1987.896450	1845.640428
71900000	1983.630507	1855.229649
71950000	1985.173369	1867.151490
72000000	1986.347414	1866.079153
72050000	1990.742088	1869.456672
72100000	1991.813519	1833.508063
72150000	1996.490899	1873.570316
72200000	1995.400569	1842.210643
72250000	1997.370160	1847.479385
72300000	1995.740231	1853.690744
72350000	1995.931501	1848.069177
72400000	1994.076317	1857.446528
72450000	1992.718712	1843.662653
72500000	1988.682086	1843.207389
72550000	1985.582985	1825.484155
72600000	1985.848836	1856.917485
72650000	1988.728798	1872.380587
72700000	1986.102346	1856.592339
72750000	1986.035401	1859.621559
72800000	1988.802640	1849.785772
72850000	1987.406216	1856.800833
72900000	1987.066236	1864.565943
72950000	1986.471991	1875.090226
73000000	1984.228589	1865.333116
73050000	1983.635761	1877.627734
73100000	1980.503973	1859.836732
73150000	1974.951366	1874.265847
73200000	1975.891121	1859.695548
73250000	1971.612226	1844.764386
73300000	1980.598827	1871.989003
73350000	1976.805601	1854.591438
73400000	1982.327188	1872.697826
73450000	1979.268172	1874.521364
73500000	1976.792964	1853.919034
73550000	1978.279515	1840.186190
73600000	1977.132309	1840.241087
73650000	1982.493873	1853.406888
73700000	1981.014768	1852.128736
73750000	1975.632546	1842.407436
73800000	1976.679455	1859.864867
73850000	1982.819664	1880.702067
73900000	1981.632646	1859.400370
73950000	1986.072653	1879.189083
74000000	1990.591062	1868.767951
74050000	1989.111064	1831.004941
74100000	1991.292180	1845.612393
74150000	1991.282573	1847.327843
74200000	1997.874300	1811.870781
74250000	1990.770913	1841.151219
74300000	1991.092900	1801.808704
74350000	1994.027720	1785.758826
74400000	1993.257743	1859.516734
74450000	1992.015113	1835.848802
74500000	1995.272377	1817.360090
74550000	1995.677893	1824.719147
74600000	1996.355480	1861.901858
74650000	1992.447963	1870.280919
74700000	1990.026523	1859.432158
74750000	1993.222732	1857.721248
74800000	1989.145865	1833.177498
74850000	1983.146777	1822.986534
74900000	1979.210687	1859.554085
74950000	1976.825231	1849.761548
75000000	1984.776406	1822.472825
