state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
31670000	4.06
31680000	6.62
31690000	6.35
31700000	2.82
31710000	4.23
31720000	2.22
31730000	3.11
31740000	1.39
31750000	1.73
31760000	7.90
31770000	3.55
31780000	6.83
31790000	2.70
31800000	2.63
31810000	8.75
31820000	4.46
31830000	4.50
31840000	2.60
31850000	12.69
31860000	4.70
31870000	13.42
31880000	3.81
31890000	7.58
31900000	4.80
31910000	3.44
31920000	1.50
31930000	7.85
31940000	3.82
31950000	3.19
31960000	4.19
31970000	4.05
31980000	4.49
31990000	4.32
32000000	3.14
32010000	12.32
32020000	2.58
32030000	2.39
32040000	3.76
32050000	2.01
32060000	1.64
32070000	1.96
32080000	11.44
32090000	8.02
32100000	5.33
32110000	11.00
32120000	3.46
32130000	6.27
32140000	4.97
32150000	4.81
32160000	4.03
32170000	8.95
32180000	8.34
32190000	2.75
32200000	2.76
32210000	1.55
32220000	1.48
32230000	6.24
32240000	4.59
32250000	2.37
32260000	3.71
32270000	9.71
32280000	14.42
32290000	4.38
32300000	2.69
32310000	2.06
32320000	3.35
32330000	5.25
32340000	3.72
32350000	6.61
32360000	14.66
32370000	5.51
32380000	7.71
32390000	3.42
32400000	4.19
32410000	11.66
32420000	1.75
32430000	3.89
32440000	7.56
32450000	2.61
32460000	2.77
32470000	2.09
32480000	3.89
32490000	2.33
32500000	7.78
32510000	3.93
32520000	3.16
32530000	5.68
32540000	1.91
32550000	4.75
32560000	4.79
32570000	2.65
32580000	2.81
32590000	1.98
32600000	4.86
32610000	3.64
32620000	4.87
32630000	8.90
32640000	3.05
32650000	1.98
32660000	7.71
32670000	3.79
32680000	5.49
32690000	6.95
32700000	11.42
32710000	9.40
32720000	2.46
32730000	11.96
32740000	13.26
32750000	7.35
32760000	4.40
32770000	30.28
32780000	13.47
32790000	13.01
32800000	4.46
32810000	3.53
32820000	9.61
32830000	10.15
32840000	10.12
32850000	3.33
32860000	4.83
32870000	2.39
32880000	2.52
32890000	4.44
32900000	2.91
32910000	2.65
32920000	4.52
32930000	3.64
32940000	5.69
32950000	2.31
32960000	1.45
32970000	2.08
32980000	3.93
32990000	4.82
33000000	1.95
33010000	4.79
33020000	6.36
33030000	1.59
33040000	7.56
33050000	5.49
33060000	1.43
33070000	2.47
33080000	15.29
33090000	4.24
33100000	3.81
33110000	5.33
33120000	3.37
33130000	8.60
33140000	2.22
33150000	2.92
33160000	6.28
33170000	5.02
33180000	6.31
33190000	7.81
33200000	2.15
33210000	5.46
33220000	1.79
33230000	6.46
33240000	3.60
33250000	7.72
33260000	4.58
33270000	4.06
33280000	7.50
33290000	8.37
33300000	4.40
33310000	3.35
33320000	12.42
33330000	2.89
33340000	4.43
33350000	2.89
33360000	12.67
33370000	4.46
33380000	9.60
33390000	1.44
33400000	10.75
33410000	5.88
33420000	2.16
33430000	6.03
33440000	3.19
33450000	2.01
33460000	4.22
33470000	8.82
33480000	13.10
33490000	4.34
33500000	3.20
33510000	4.41
33520000	11.48
33530000	3.05
33540000	6.03
33550000	2.58
33560000	10.60
33570000	2.71
33580000	3.89
33590000	8.07
33600000	3.77
33610000	10.03
33620000	4.99
33630000	3.32
33640000	6.83
33650000	4.17
33660000	4.65
33670000	4.04
33680000	2.71
33690000	1.46
33700000	21.36
33710000	1.76
33720000	1.66
33730000	8.24
33740000	28.58
33750000	22.33
33760000	4.38
33770000	3.88
33780000	3.83
33790000	39.82
33800000	2.71
33810000	4.61
33820000	2.91
33830000	2.33
33840000	6.67
33850000	4.98
33860000	4.14
33870000	3.13
33880000	2.07
33890000	1.54
33900000	2.80
33910000	2.15
33920000	4.54
33930000	28.88
33940000	8.49
33950000	2.45
33960000	10.54
33970000	18.15
33980000	1.75
33990000	3.18
34000000	7.91
34010000	23.44
34020000	2.40
34030000	1.64
34040000	8.62
34050000	2.03
34060000	6.52
34070000	4.24
34080000	4.41
34090000	3.10
34100000	7.75
34110000	2.84
34120000	23.66
34130000	2.82
34140000	6.71
34150000	33.19
34160000	8.94
34170000	19.70
34180000	6.65
34190000	8.20
34200000	2.79
34210000	4.33
34220000	33.74
34230000	15.25
34240000	14.82
34250000	6.24
34260000	3.79
34270000	10.52
34280000	11.33
34290000	8.46
34300000	8.30
34310000	21.41
34320000	16.79
34330000	10.74
34340000	4.93
34350000	13.47
34360000	7.78
34370000	6.73
34380000	13.21
34390000	10.00
34400000	3.03
34410000	11.43
34420000	10.12
34430000	4.55
34440000	6.10
34450000	2.87
34460000	5.38
34470000	5.00
34480000	21.97
34490000	8.91
34500000	8.72
34510000	7.51
34520000	2.75
34530000	5.45
34540000	4.71
34550000	8.09
34560000	8.97
34570000	7.99
34580000	3.20
34590000	2.35
34600000	3.56
34610000	7.42
34620000	2.91
34630000	8.45
34640000	2.62
34650000	3.60
34660000	4.45
34670000	2.78
34680000	2.53
34690000	11.23
34700000	4.63
34710000	9.86
34720000	2.53
34730000	3.21
34740000	4.34
34750000	4.37
34760000	11.38
34770000	4.05
34780000	4.47
34790000	2.51
34800000	12.47
34810000	6.50
34820000	10.78
34830000	17.75
34840000	43.51
34850000	5.07
34860000	8.99
34870000	4.23
34880000	5.00
34890000	5.45
34900000	7.01
34910000	36.66
34920000	4.15
34930000	6.99
34940000	5.59
34950000	17.78
34960000	3.26
34970000	4.51
34980000	10.83
34990000	13.03
35000000	3.84
35010000	3.14
35020000	10.48
35030000	3.77
35040000	19.38
35050000	5.23
35060000	14.60
35070000	19.33
35080000	12.29
35090000	5.40
35100000	4.54
35110000	2.29
35120000	2.14
35130000	1.38
35140000	4.96
35150000	5.27
35160000	2.29
35170000	11.01
35180000	7.52
35190000	13.73
35200000	7.73
35210000	3.96
35220000	6.65
35230000	3.62
